type_of_investment	Kpi_description	monitoring_Type_Code	date	loginUser_id	monitoring_type_id	project_id
Design and installation of a 10-20 MW solar photovoltaic (PV) plant including battery energy storage,	Disbursement rate on Jambur  Solar Power Plant	GERMPSOLAR	2025-03-14 13:14:52.6746940 +00:00	2	Tech	D309& D6530 -GM
Primary and Secondary Stations upgrades	Number of Primary and Secondary Substations constructed	GERMP-SSubstat	2025-03-31 17:58:39.4720660 +00:00	5	Tec	D309& D6530 -GM
Installation LED streetlight bulbs for GBA	Disbursement rate for 2500 LED streetlights installation- BB Electical	GERMP-Strt-LED	2025-03-17 11:35:18.5817970 +00:00	2	Tech	D309& D6530 -GM
Conduct Energy Audit for the Water Business and Sanitation	Disbursement rate for Energy Audit for the Water Business and Sanitation studies (SUREKA)	GERMP-Sureka	2025-03-17 12:02:40.9914850 +00:00	2	Tech	D309& D6530 -GM
Design, supply and construction of new tank infrastructure	Disbursement rate for new tank infrastructure design, supply and construction (ASPAC International)	GERMP-Tank-Aspa	2025-03-17 12:19:59.2483560 +00:00	2	Tech	D309& D6530 -GM
Rehab Storage Tanks and Improving Water Quality	Number of storage Tanks Rehabilitated	GERMP-Tank-reha	2025-03-31 18:04:11.1749560 +00:00	5	Tec	D309& D6530 -GM
Conduct network extension for water at the Nyambi Kala Estate	Network extension of water at Nyambi Kala conducted	GERMP-Tech. Nka	2025-03-18 13:03:56.3994500 +00:00	2	Tec	D309& D6530 -GM
Design, Supply, Installation, Operation and Maintenance of a Solar PV Plant with Storage	23 MWp Solar Plant with 8MWH of Battery Energy Storage System at Jambur site	GERMP-Tec-Solar	2025-03-18 13:37:24.3203750 +00:00	2	Tec	D309& D6530 -GM
Procure Test Bench – Lot2:	Disbursement rate for Test bench procurement (Lot 2)	GERMP-Testbench	2025-03-17 12:09:51.3690980 +00:00	2	Tech	D309& D6530 -GM
Component 1: Transmission Line	Complete compliance	Germp-TL-Compli	2025-04-11 15:08:38.0114570 +00:00	5	ESS	D309& D6530 -GM
Procure water Meters – Lot1	Disbursement rate for Water Meters procurement (Lot 1)	GERMP-Water-Met	2025-03-17 12:08:22.5224990 +00:00	2	Tech	D309& D6530 -GM
Water Quality Improvement and Construction of Water Storage Tanks	Disbursement rate for Water Quality improvement and Water Storage Tanks Construction	GERMP-Water-Qua	2025-03-17 12:21:48.6059220 +00:00	2	Tech	D309& D6530 -GM
Procure spare parts for water distribution network	Disbursement rate for spare parts for water distribution network procured	GERMP-Water-spa	2025-03-17 12:12:19.6874340 +00:00	2	Tech	D309& D6530 -GM
Procure equipment for the WBU – Generator and Excavator	Disbursement rate for Generator and Excavator Procured- (JGH and Timber and Co)	GERMP-WBU-Equip	2025-03-17 12:24:38.4469750 +00:00	2	Tech	D309& D6530 -GM
LOT I – Procurement of AMR meters - Xylem Water Solutions	Disbursement Rate	Germp-xylem-Fin	2025-04-11 11:01:51.0426250 +00:00	5	Tech	D309& D6530 -GM
